model,mse_train,mse_test,rmse_train,rmse_test,r2_train,r2_test,best_params
Ridge,0.020134056356147668,0.0351985610741226,0.1418945254622167,0.18761279560339855,0.9999103664691591,0.9997971251499099,{'ridge__alpha': 0.001}
GradientBoosting,0.1422121032208307,1.416809380284655,0.3771102003669891,1.1902980216251118,0.9993668949408648,0.991833899402134,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 2, 'learning_rate': 0.1}"
RandomForest,2.8966461456731225,5.0709289928690735,1.701953626181725,2.251872330499461,0.9871046044055584,0.9707725563815192,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 15}"
ExtraTrees,2.8930154422736765,6.614254349332436,1.700886663559238,2.5718192684036794,0.987120767704169,0.961877252403799,"{'n_estimators': 100, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': None}"
