model,mse_train,mse_test,rmse_train,rmse_test,r2_train,r2_test
Ridge,0.025955701135312505,0.04045534649588753,0.16110773145728452,0.2011351448551136,0.9998844494573247,0.9997668264808209
GradientBoosting,0.2445975564324371,3.6208542832028177,0.49456805035549667,1.9028542464421225,0.9989110916235517,0.9791303892123386
ExtraTrees,0.0010479166666666807,5.9459110416666645,0.032371540999258604,2.438423884739211,0.9999953348461333,0.9657293998840851
RandomForest,1.6078370833333337,6.158168333333336,1.2680051590326176,2.4815657019981026,0.992842171877995,0.9645060070829784
